Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Booking_Lead_Time
P22,F39,Delta,ORD,DEN,8/24/2023 21:38,229,On-time,1278,271.2,29,Male,Medium,Family,Economy,1,Gold,Airport Kiosk,7.494365977,9,52,1,1,Window,1
P23,F1663,American Airlines,SFO,SEA,2/11/2025 7:57,87,On-time,902,248.89,54,Male,High,Business,Economy,1,,Mobile App,8.06187677,3,10,0,0,Window,87
P24,F290,JetBlue,LAX,SEA,5/25/2023 0:18,256,Cancelled,1328,192,60,Female,Low,Leisure,Economy,2,Gold,Online,6.859631646,16,66,0,0,Window,107
P25,F888,JetBlue,ORD,JFK,8/6/2023 21:18,238,On-time,959,243.87,55,Female,Medium,Leisure,Economy,0,,Online,6.122058456,6,92,0,0,Middle,29
P26,F1447,United,ORD,LAX,5/26/2024 10:14,138,On-time,1397,406.52,34,Male,Medium,Leisure,Economy,1,,Online,7.038057541,6,94,0,0,Aisle,37
P27,F47,Delta,ATL,LAX,2/6/2025 21:23,117,On-time,1059,333.59,51,Male,Low,Leisure,Premium Economy,0,Gold,Online,6.932334127,14,70,0,0,Window,1
P28,F556,United,SEA,SEA,6/30/2023 13:32,169,On-time,1403,197.8,75,Male,Medium,Business,Economy,3,,Airport Kiosk,6.505560884,7,24,0,0,Window,63
P29,F427,American Airlines,SFO,DFW,1/13/2025 20:17,192,On-time,1096,219.61,54,Male,Medium,Emergency,Economy,1,Gold,Desk,6.388473404,2,64,0,1,Aisle,59
P30,F939,American Airlines,DEN,LAX,6/6/2023 21:53,145,On-time,1272,420.26,31,Female,High,Family,Economy,1,,Mobile App,7.078351861,11,114,0,0,Middle,20
P31,F922,Southwest,ORD,ATL,12/11/2023 9:10,100,Cancelled,1615,349.5,45,Female,Medium,Leisure,Economy,1,,Desk,7.087532687,7,45,0,0,Middle,32
P32,F127,JetBlue,DEN,JFK,3/20/2024 19:22,224,On-time,875,325.89,49,Male,Medium,Business,Economy,1,Platinum,Online,6.961642356,2,63,0,0,Window,75
P33,F602,United,SFO,LAX,9/19/2024 7:53,241,Delayed,1188,416.78,37,Male,High,Leisure,Economy,1,Silver,Airport Kiosk,7.330508952,0,109,0,0,Window,57
P34,F186,American Airlines,LAX,ATL,7/6/2023 20:34,115,On-time,1622,270.02,76,Female,Medium,Family,Premium Economy,1,,Online,7.656335705,14,7,0,1,Middle,21
P35,F699,American Airlines,ORD,SFO,1/9/2024 11:27,146,On-time,1435,403.37,44,Male,Medium,Family,Economy,0,,Desk,8.173442984,0,96,0,0,Middle,107
P36,F215,Delta,LAX,DFW,1/30/2024 2:16,218,On-time,2558,430.53,31,Female,High,Family,Economy,1,Silver,Airport Kiosk,7.884109847,7,90,0,0,Middle,88
P37,F1221,American Airlines,DFW,JFK,8/18/2023 11:53,262,Cancelled,1198,284.82,70,Female,Low,Emergency,Economy,0,Gold,Airport Kiosk,7.12441981,8,43,0,0,Middle,48
P38,F117,American Airlines,DFW,SFO,8/14/2023 12:46,187,On-time,986,292.8,69,Male,High,Leisure,Economy,1,Silver,Mobile App,7.457804583,16,34,0,0,Middle,90
P39,F807,JetBlue,ATL,LAX,6/25/2024 8:10,291,On-time,1030,497.05,60,Female,Medium,Leisure,Economy,0,Silver,Mobile App,7.091034033,3,63,0,0,Window,58
P40,F657,Delta,ATL,LAX,10/16/2024 9:50,92,On-time,1231,325.8,44,Male,Medium,Emergency,Economy,2,Silver,Mobile App,6.67074566,0,79,0,0,Aisle,41
P41,F1353,American Airlines,JFK,ATL,11/15/2023 21:25,182,Delayed,938,239.45,66,Female,Low,Family,Economy,1,,Desk,7.966926798,13,92,0,0,Middle,91
P42,F1179,Delta,LAX,DEN,11/14/2023 6:00,92,On-time,1458,370.34,21,Male,Medium,Business,Economy,2,,Desk,7.521815295,0,107,0,1,Middle,59
P43,F1036,Southwest,DFW,ATL,4/18/2025 1:08,179,On-time,925,398.66,50,Female,Medium,Leisure,Economy,1,,Mobile App,8.230796794,28,70,0,0,Window,79
P44,F229,American Airlines,SFO,SEA,12/13/2023 6:55,218,On-time,1241,466.83,42,Female,Medium,Emergency,Business,1,Silver,Mobile App,8.628542675,14,88,0,0,Middle,14
P45,F1553,JetBlue,ORD,DEN,3/31/2024 8:11,158,On-time,1134,320.68,72,Female,High,Leisure,Economy,1,,Mobile App,6.368131044,8,68,0,0,Window,61
P46,F1759,JetBlue,LAX,ORD,8/28/2023 2:18,165,On-time,1479,352.61,30,Male,Low,Leisure,Economy,1,Silver,Mobile App,7.301156663,9,12,0,0,Middle,61
P47,F726,JetBlue,JFK,DFW,1/20/2025 5:45,89,Cancelled,1096,315.38,37,Male,Medium,Business,Premium Economy,1,,Online,9.146897052,1,48,0,0,Middle,46
P48,F121,Southwest,DEN,SFO,1/16/2025 0:19,261,Delayed,1301,449.12,38,Male,High,Family,Economy,0,Gold,Airport Kiosk,7.209823707,6,115,0,0,Middle,61
P49,F1441,JetBlue,JFK,DEN,6/5/2023 23:34,145,On-time,1441,219.72,25,Male,Medium,Family,Premium Economy,2,,Airport Kiosk,7.670787524,26,26,0,0,Middle,50
P50,F1698,JetBlue,DEN,JFK,5/23/2023 17:58,268,On-time,1286,122.7,29,Male,High,Emergency,Economy,0,,Mobile App,7.216614718,11,112,0,0,Middle,107
P51,F362,American Airlines,SEA,DFW,11/12/2023 21:50,186,On-time,1212,375.59,39,Female,Medium,Business,Economy,2,Platinum,Online,7.427092877,13,6,0,0,Window,54
P52,F1577,JetBlue,SEA,LAX,2/9/2025 16:35,193,On-time,1204,229.09,67,Female,Low,Leisure,Premium Economy,0,,Online,9.517027614,8,109,0,0,Window,115
P53,F670,JetBlue,JFK,JFK,2/7/2024 2:13,29,On-time,703,467.72,22,Male,Medium,Family,Premium Economy,4,,Airport Kiosk,8.251697997,2,64,0,1,Window,63
P54,F1540,Southwest,ATL,ATL,10/11/2023 12:39,173,On-time,1071,552.38,42,Male,Medium,Business,Business,2,,Desk,9.182978805,5,6,0,1,Aisle,120
P55,F1222,Southwest,DFW,SFO,5/16/2024 12:49,59,Delayed,898,477.94,54,Female,Low,Emergency,Economy,1,Platinum,Airport Kiosk,6.629082975,18,18,0,1,Window,2
P56,F1537,United,DFW,DEN,11/18/2024 12:59,77,On-time,1149,229.74,18,Male,Medium,Family,Economy,1,,Online,6.849312578,15,102,0,0,Aisle,100
P57,F1982,United,ORD,ATL,6/28/2023 10:28,115,On-time,1188,234.94,41,Male,Low,Leisure,Economy,1,Gold,Online,6.830891012,12,42,0,0,Window,50
P58,F1995,United,ATL,DEN,9/10/2024 8:04,261,On-time,1143,429.73,79,Female,Low,Leisure,Economy,3,Gold,Online,6.098381318,3,97,0,0,Middle,6
P59,F571,United,SFO,ORD,1/12/2024 19:55,157,On-time,974,199.88,31,Male,Medium,Family,Economy,1,,Online,7.105788176,2,41,0,0,Window,20
P60,F1972,Delta,JFK,DFW,2/1/2025 3:06,233,On-time,1440,361.13,25,Male,Low,Emergency,Premium Economy,1,,Online,9.352973638,8,83,0,0,Window,72
P61,F959,JetBlue,SEA,LAX,10/1/2023 19:16,180,Delayed,1101,359.21,18,Female,High,Leisure,Premium Economy,0,,Online,6.454140453,51,6,0,0,Middle,38
P62,F237,JetBlue,DEN,ATL,4/10/2025 4:15,216,On-time,803,422.63,44,Male,High,Family,Economy,1,,Mobile App,7.310260263,5,92,0,0,Aisle,17
P63,F1,United,DFW,SEA,2/17/2024 13:14,168,On-time,1388,250.22,75,Male,Medium,Emergency,Premium Economy,0,,Desk,6.256943949,56,81,1,0,Aisle,3
P64,F444,United,ATL,LAX,11/13/2023 3:11,275,On-time,1242,456.75,24,Female,Low,Business,Premium Economy,2,Gold,Mobile App,8.110558771,1,95,0,0,Middle,88
P65,F1874,American Airlines,LAX,DEN,7/12/2023 7:10,181,On-time,1097,353.16,69,Female,High,Business,Premium Economy,0,,Mobile App,7.793451151,4,6,0,0,Window,59
P66,F109,Southwest,LAX,JFK,2/19/2024 18:47,148,On-time,1452,366.41,76,Male,Medium,Business,Economy,1,Silver,Desk,6.437887432,22,79,0,0,Window,13
P67,F530,American Airlines,DFW,ORD,12/1/2024 2:09,93,Delayed,1698,376.59,56,Male,Low,Business,Economy,1,,Online,7.144731737,2,21,0,0,Middle,113
P68,F1668,Southwest,LAX,DEN,6/1/2023 7:19,147,On-time,1589,234.32,54,Male,Medium,Business,Premium Economy,3,Silver,Online,7.598127205,6,99,0,0,Window,8
P69,F751,American Airlines,SEA,ORD,10/2/2023 13:56,98,On-time,1058,295.42,53,Female,High,Leisure,Premium Economy,3,,Desk,6.668832947,9,13,0,0,Window,89
P70,F1731,American Airlines,SEA,DFW,9/30/2023 21:20,274,Delayed,1483,179.04,29,Female,Low,Family,Economy,0,Gold,Desk,7.93792546,5,58,0,1,Aisle,52
P71,F1956,Southwest,SEA,DFW,12/19/2023 5:14,182,Delayed,1298,358.52,62,Male,Medium,Emergency,Economy,3,Platinum,Online,7.218128745,8,51,0,0,Middle,1
P72,F899,JetBlue,LAX,DFW,9/9/2023 10:02,229,On-time,595,324.11,34,Female,High,Leisure,Economy,0,,Mobile App,7.406363524,19,63,0,0,Middle,83
P73,F1648,Delta,DEN,ATL,4/14/2024 18:13,205,On-time,1572,382.08,42,Male,Low,Leisure,Economy,1,Silver,Mobile App,8.132216903,11,66,0,0,Window,91
P74,F771,Delta,DFW,DFW,11/13/2024 20:10,282,On-time,1074,353.37,64,Female,Medium,Family,Economy,0,Platinum,Online,8.021697679,7,116,0,0,Window,110
P75,F826,JetBlue,ATL,SEA,4/11/2024 4:24,230,On-time,1585,442.67,29,Male,Low,Business,Premium Economy,0,,Mobile App,9.273415853,3,80,0,0,Window,59
P76,F1892,JetBlue,ATL,DEN,8/26/2023 15:03,174,On-time,1263,273.51,22,Male,Low,Business,Premium Economy,0,Gold,Online,8.266940289,0,51,0,0,Middle,70
P77,F1831,American Airlines,ORD,DFW,5/6/2023 20:07,198,On-time,1022,262.13,58,Male,Medium,Family,Premium Economy,1,,Desk,7.68073542,10,63,0,0,Aisle,43
P78,F1272,Southwest,ORD,DEN,3/14/2025 20:19,176,On-time,859,438.25,27,Female,Medium,Emergency,Economy,1,Silver,Mobile App,6.351326578,8,32,0,0,Aisle,7
P79,F1993,American Airlines,ATL,ORD,5/6/2024 7:46,173,On-time,950,339.86,27,Female,Medium,Leisure,Economy,1,Silver,Mobile App,6.482418167,11,19,0,0,Window,46
P80,F1742,Southwest,JFK,SEA,12/20/2023 12:20,153,On-time,1061,440.78,59,Male,Low,Business,Economy,4,Gold,Online,7.084469803,3,9,0,1,Middle,34
P81,F1367,Delta,LAX,DEN,6/25/2024 4:17,167,On-time,1178,273.8,25,Female,Low,Emergency,Business,0,Gold,Online,8.052804536,24,21,0,0,Middle,77
P82,F740,American Airlines,DEN,DEN,4/12/2024 4:12,201,On-time,1042,538.42,51,Female,High,Leisure,Premium Economy,0,Platinum,Desk,8.408138918,22,64,0,1,Middle,80
P83,F36,United,DFW,DFW,12/1/2024 6:57,193,On-time,1434,316.76,48,Male,Medium,Family,Economy,0,Gold,Desk,6.744537325,4,14,0,0,Middle,35
P84,F1141,United,JFK,ATL,3/18/2024 3:44,256,On-time,895,285.22,40,Male,Low,Emergency,Premium Economy,1,,Desk,6.950024108,7,23,0,1,Aisle,49
P85,F582,American Airlines,ORD,LAX,9/23/2024 20:10,227,On-time,1566,353.57,67,Male,High,Leisure,Economy,1,,Desk,7.438172785,8,119,0,0,Window,103
P86,F660,Delta,ATL,DFW,11/1/2024 18:01,172,On-time,749,451.07,30,Male,Low,Family,Economy,2,Silver,Airport Kiosk,6.489436894,4,69,0,0,Middle,3
P87,F832,United,SFO,DFW,1/30/2025 14:45,243,On-time,611,294.39,66,Male,Low,Emergency,Economy,2,,Online,7.86852662,16,47,0,0,Window,1
P88,F1776,Southwest,LAX,LAX,11/24/2023 2:48,175,Delayed,1262,270.98,39,Male,Medium,Business,Economy,2,,Airport Kiosk,7.058205943,23,27,1,0,Window,5
P89,F495,American Airlines,JFK,DEN,6/21/2023 13:52,145,Delayed,1093,409.72,20,Male,High,Family,Economy,1,Gold,Airport Kiosk,8.141689312,5,22,0,0,Aisle,53
P90,F405,United,ORD,SEA,8/23/2024 2:59,200,On-time,1180,334.44,57,Male,Medium,Business,Economy,1,,Online,7.779754385,0,115,0,0,Aisle,105
P91,F60,Southwest,ORD,SFO,6/10/2024 10:46,160,Cancelled,1101,286.77,40,Female,Medium,Emergency,Economy,2,Platinum,Mobile App,6.367327944,4,99,0,1,Aisle,3
P92,F1659,Southwest,DFW,DFW,12/17/2023 10:50,121,On-time,836,457.72,37,Female,Low,Business,Economy,1,Gold,Mobile App,7.21669721,1,29,0,0,Aisle,53
P93,F589,JetBlue,DFW,LAX,3/18/2024 22:45,197,On-time,999,327.74,55,Female,Medium,Leisure,Premium Economy,0,,Mobile App,7.826750966,32,20,0,0,Window,92
P94,F116,United,SFO,JFK,10/1/2023 13:07,249,On-time,1468,347,55,Male,Low,Business,Economy,2,,Online,6.531042955,4,28,0,0,Window,62
P95,F159,Delta,ORD,SEA,5/12/2024 5:39,250,Delayed,1436,258.18,62,Male,Low,Leisure,Economy,0,Silver,Online,6.216022625,2,101,0,0,Middle,17
P96,F1291,JetBlue,ATL,ATL,5/4/2023 14:50,254,On-time,1216,412.23,74,Male,Low,Emergency,Business,0,,Desk,8.552257716,7,108,0,0,Middle,89
P97,F1829,Southwest,LAX,DEN,10/11/2023 22:09,111,Delayed,921,400.97,36,Female,Medium,Emergency,Economy,1,Gold,Mobile App,6.61803886,23,21,0,0,Middle,43
P98,F561,JetBlue,LAX,LAX,11/7/2024 22:46,158,Cancelled,1275,274.51,37,Male,Medium,Family,Economy,0,Silver,Online,5.637941831,15,90,0,0,Aisle,33
P99,F1104,American Airlines,SFO,ORD,3/24/2025 7:35,209,Delayed,1142,364.28,56,Male,Medium,Leisure,Business,1,Silver,Mobile App,8.706109832,5,111,0,1,Aisle,73
P100,F619,American Airlines,DEN,DEN,7/6/2023 5:31,131,On-time,1361,265.69,73,Female,Low,Emergency,Economy,1,,Mobile App,6.820547654,47,85,0,0,Middle,61
P101,F146,Southwest,SEA,SEA,5/15/2023 1:27,221,On-time,889,492.83,25,Male,Low,Business,Economy,0,Silver,Airport Kiosk,8.633224673,10,38,0,0,Aisle,99
P102,F1655,American Airlines,DEN,JFK,8/2/2024 17:46,215,On-time,1439,435.41,73,Male,Low,Emergency,First,3,Silver,Online,7.287216378,22,101,0,0,Window,13
P103,F542,Delta,SFO,SFO,9/17/2023 7:54,194,On-time,877,204.43,64,Female,High,Leisure,Economy,1,,Mobile App,8.537997118,1,12,0,0,Middle,94
P104,F121,United,LAX,ORD,9/29/2023 1:35,125,Delayed,666,261.46,59,Male,High,Leisure,Economy,1,,Mobile App,7.567316025,28,36,0,1,Window,47
P105,F1320,Delta,DEN,SEA,4/3/2024 17:13,244,On-time,1305,235.2,51,Female,High,Emergency,First,4,Silver,Airport Kiosk,8.549017593,1,57,0,0,Window,14
P106,F866,Southwest,DFW,DFW,11/10/2024 4:44,205,On-time,1827,350.71,42,Male,Medium,Leisure,Economy,1,Silver,Desk,7.029629373,5,89,0,0,Window,71
P107,F292,Southwest,ATL,JFK,4/4/2025 15:26,161,On-time,1390,195,75,Male,High,Emergency,Economy,4,Silver,Airport Kiosk,7.625877564,1,4,0,0,Aisle,77
P108,F1328,American Airlines,LAX,ORD,2/22/2024 20:02,104,On-time,901,220.59,30,Male,Medium,Family,Economy,2,,Airport Kiosk,7.600838238,4,116,0,0,Middle,86
P109,F910,American Airlines,ATL,DEN,7/27/2024 12:19,157,Delayed,1073,305.67,53,Male,Medium,Leisure,Economy,1,,Mobile App,7.699526838,1,104,0,0,Window,120
P110,F15,American Airlines,DEN,ORD,10/27/2023 12:24,202,On-time,1303,260.88,47,Female,Medium,Emergency,Economy,1,Platinum,Desk,7.865901435,15,50,0,0,Middle,61
P111,F249,United,DEN,DFW,9/9/2023 23:52,131,On-time,1592,311.31,74,Female,Medium,Family,Economy,1,,Mobile App,6.963920187,1,60,1,0,Aisle,39
P112,F967,United,SFO,JFK,10/12/2024 21:37,105,On-time,1518,342.85,29,Female,High,Business,Premium Economy,3,Silver,Airport Kiosk,8.951646958,10,21,0,1,Middle,84
P113,F894,Southwest,SFO,ATL,3/8/2024 1:25,242,On-time,950,506.77,62,Male,Medium,Family,Business,5,Platinum,Airport Kiosk,8.638926527,3,79,0,0,Aisle,79
P114,F1596,Delta,ATL,DEN,3/14/2025 14:00,133,Cancelled,925,329.48,29,Male,Medium,Emergency,Economy,2,Gold,Desk,7.317073776,7,8,0,0,Middle,108
P115,F1029,JetBlue,SEA,SEA,4/26/2024 2:25,261,On-time,1094,249.95,63,Female,High,Business,Premium Economy,0,,Online,8.358614473,6,55,0,0,Aisle,81
P116,F590,JetBlue,JFK,SFO,7/7/2024 2:14,146,On-time,1255,455.03,71,Female,Medium,Business,Business,0,Silver,Airport Kiosk,8.54187976,5,66,0,0,Middle,110
P117,F1014,American Airlines,LAX,DFW,5/26/2023 10:35,156,On-time,1107,300.33,54,Male,Low,Emergency,Economy,1,Gold,Desk,8.096841668,3,58,1,0,Aisle,52
P118,F472,Delta,SFO,ATL,11/16/2023 3:31,145,Delayed,979,363.47,67,Female,Medium,Leisure,Economy,2,Silver,Airport Kiosk,8.669696557,0,24,1,0,Window,23
P119,F1697,American Airlines,JFK,SEA,12/7/2023 12:28,204,Delayed,985,151.12,26,Male,High,Leisure,Economy,1,Gold,Desk,7.169398931,9,17,0,0,Window,25
P120,F1043,United,SEA,LAX,12/28/2023 10:40,155,On-time,832,344.5,51,Male,Medium,Family,Economy,1,,Mobile App,7.461921303,2,27,0,1,Aisle,88
P121,F1965,American Airlines,DFW,LAX,11/26/2024 21:32,237,On-time,1775,384.83,25,Male,Medium,Emergency,Economy,0,Silver,Mobile App,7.314886298,6,67,0,1,Aisle,59
P122,F1475,United,ATL,ORD,4/29/2024 5:54,140,On-time,1306,128.22,79,Male,Medium,Leisure,Premium Economy,3,Silver,Mobile App,7.577120449,6,101,0,0,Window,108
P123,F1349,United,SEA,ORD,7/31/2023 1:34,117,On-time,1450,260.06,61,Male,Medium,Family,Premium Economy,1,,Desk,8.783021716,3,9,0,0,Aisle,40
P124,F539,American Airlines,DFW,DEN,10/27/2024 11:28,252,On-time,1480,546.65,32,Male,Low,Family,Economy,1,,Online,7.420505242,1,43,0,0,Aisle,28
P125,F1332,Southwest,LAX,SEA,12/5/2023 10:17,208,Cancelled,1130,333.91,29,Male,Medium,Leisure,Economy,1,,Online,6.39875336,12,98,0,0,Aisle,14
P126,F940,American Airlines,JFK,SEA,6/22/2024 4:31,264,Delayed,1103,177.53,45,Male,Low,Family,Economy,2,,Mobile App,6.99445893,5,99,0,0,Window,44
P127,F913,United,ATL,ATL,4/11/2025 17:28,94,On-time,1395,402.89,45,Female,Low,Leisure,Economy,3,,Online,7.878719543,22,117,0,0,Middle,64
P128,F1539,American Airlines,SEA,ORD,2/16/2024 15:15,200,On-time,1294,428.48,42,Female,Low,Emergency,Business,3,Platinum,Mobile App,8.91314728,7,7,0,0,Middle,88
P129,F1437,JetBlue,SFO,ORD,7/19/2023 21:38,164,On-time,1125,316.42,62,Male,High,Emergency,Economy,0,Silver,Online,7.43903263,0,39,0,0,Aisle,70
P130,F345,JetBlue,SFO,LAX,4/3/2024 23:05,189,On-time,837,473.92,31,Female,High,Emergency,Business,3,,Online,6.942743465,11,86,0,0,Aisle,8
P131,F349,JetBlue,LAX,LAX,5/11/2023 17:08,191,On-time,1288,532.86,29,Female,Low,Business,Economy,1,Platinum,Mobile App,8.235989461,6,104,0,1,Window,87
P132,F747,United,JFK,SFO,7/8/2023 15:21,255,On-time,1044,382.4,43,Female,Low,Family,Economy,1,Platinum,Desk,7.425274458,1,2,0,0,Window,0
P133,F1572,American Airlines,LAX,SFO,12/26/2024 0:15,132,On-time,935,294.25,19,Male,Medium,Leisure,Premium Economy,2,Silver,Mobile App,8.648947743,13,78,0,0,Aisle,107
P134,F33,Delta,ORD,SFO,7/19/2024 18:07,168,On-time,1251,374.44,77,Male,High,Family,Economy,2,,Airport Kiosk,7.111633232,8,7,0,1,Aisle,7
P135,F1202,JetBlue,DFW,ORD,1/28/2024 10:20,143,On-time,1496,245.25,57,Female,Medium,Family,Economy,2,,Online,7.947929213,27,104,0,0,Aisle,87
P136,F1104,JetBlue,LAX,SFO,12/27/2024 6:16,217,On-time,839,330.76,60,Male,High,Leisure,Premium Economy,0,Silver,Mobile App,7.382779133,15,23,0,0,Middle,62
P137,F1672,Southwest,DEN,SFO,4/11/2025 15:06,188,On-time,1352,476.48,76,Male,High,Leisure,Economy,2,,Desk,7.183246267,12,100,0,0,Window,10
P138,F36,Delta,LAX,DEN,10/19/2024 15:45,286,On-time,1903,339.92,71,Male,Low,Leisure,Economy,0,,Desk,7.964946685,3,119,0,0,Window,114
P139,F101,JetBlue,ORD,DFW,5/21/2023 20:12,152,On-time,1072,285.5,26,Male,High,Emergency,Business,1,,Airport Kiosk,7.769187414,19,118,0,0,Window,80
P140,F1632,Southwest,ATL,ATL,12/9/2023 20:31,172,On-time,1369,298.4,51,Male,Medium,Business,Business,1,Silver,Desk,7.07382323,37,22,0,0,Window,7
P141,F367,Delta,DFW,SEA,6/28/2023 15:51,252,On-time,615,168.01,68,Female,Medium,Leisure,Premium Economy,1,,Online,8.103582137,3,53,1,0,Middle,34
P142,F467,Southwest,ATL,DEN,5/12/2024 0:28,145,Delayed,1025,418.9,33,Female,High,Leisure,Premium Economy,3,,Mobile App,7.683501355,18,107,0,0,Window,34
P143,F1873,JetBlue,DFW,LAX,11/4/2024 5:44,181,On-time,1249,176.04,37,Female,Medium,Leisure,Economy,3,Platinum,Mobile App,8.126637416,6,45,0,0,Aisle,32
P144,F1775,United,ORD,ATL,7/19/2024 14:07,204,On-time,1568,339.62,54,Male,Medium,Leisure,Economy,1,,Online,6.836493872,4,58,0,0,Aisle,4
P145,F1924,JetBlue,LAX,ORD,6/6/2024 13:14,319,On-time,1294,388.28,74,Female,Low,Family,Economy,0,,Online,7.553049594,3,78,0,0,Aisle,105
P146,F1557,United,SEA,DFW,10/3/2023 9:15,225,On-time,1136,303.95,60,Female,Low,Emergency,Premium Economy,1,Silver,Airport Kiosk,7.272583467,13,72,0,1,Aisle,102
P147,F1675,JetBlue,ATL,DFW,11/12/2023 11:19,203,On-time,1780,203.9,36,Female,Medium,Family,Economy,3,,Mobile App,7.430290925,7,70,0,1,Middle,40
P148,F1414,Delta,DFW,JFK,2/26/2024 8:20,181,Cancelled,725,272.76,24,Female,High,Emergency,Business,1,Gold,Airport Kiosk,8.758276632,19,27,0,0,Aisle,27
P149,F56,American Airlines,ATL,ORD,6/6/2024 18:03,172,On-time,1488,275.29,72,Female,Medium,Business,Business,1,Gold,Online,8.306430435,11,90,0,0,Middle,6
P150,F437,Southwest,LAX,DFW,9/22/2023 2:27,283,On-time,1529,296.31,41,Male,Low,Family,Economy,1,Silver,Mobile App,8.310511927,7,63,0,1,Middle,72
P151,F782,American Airlines,DFW,LAX,12/4/2024 11:48,178,On-time,1387,441.05,31,Male,High,Family,Economy,3,Gold,Mobile App,8.153329888,1,103,0,0,Aisle,71
